"Interaction","Quantified_at_the","Sampled_at_the","Main_Source","Population","Sample_size","Method","Source","Origin","Category","Prey","Strength","Index","Species","Genus","Family","Order","Class"
11,"population-level","population-level",1,1,27,"gut contents","aquatic","animal","scale","scale",51.85,"%FO","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
11,"population-level","population-level",1,1,27,"gut contents","aquatic","animal","scale","scale",2.85,"%FV","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
11,"population-level","population-level",1,1,27,"gut contents","aquatic","animal","scale","scale",1.97,"%IAi","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
12,"population-level","population-level",1,1,27,"gut contents","unknown","unknown","detritus","detritus",7.4,"%FO","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
12,"population-level","population-level",1,1,27,"gut contents","unknown","unknown","detritus","detritus",1.12,"%FV","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
12,"population-level","population-level",1,1,27,"gut contents","unknown","unknown","detritus","detritus",0.11,"%IAi","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
13,"population-level","population-level",1,1,27,"gut contents","unknown","unknown","sand","sand",25.92,"%FO","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
13,"population-level","population-level",1,1,27,"gut contents","unknown","unknown","sand","sand",0.3,"%FV","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
13,"population-level","population-level",1,1,27,"gut contents","unknown","unknown","sand","sand",0.1,"%IAi","Astyanax bimaculatus","Astyanax","Acestrorhamphidae","Characiformes","Teleostei"
14,"population-level","population-level",1,2,79,"gut contents","unknown","unknown","cyanophyta","Lyngbya sp.",22.78,"%FO","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
14,"population-level","population-level",1,2,79,"gut contents","unknown","unknown","cyanophyta","Lyngbya sp.",0.49,"%FV","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
14,"population-level","population-level",1,2,79,"gut contents","unknown","unknown","cyanophyta","Lyngbya sp.",0.13,"%IAi","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
15,"population-level","population-level",1,2,79,"gut contents","unknown","unknown","chlorophyta","Spirogyra sp.",93.67,"%FO","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
15,"population-level","population-level",1,2,79,"gut contents","unknown","unknown","chlorophyta","Spirogyra sp.",86.65,"%FV","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
15,"population-level","population-level",1,2,79,"gut contents","unknown","unknown","chlorophyta","Spirogyra sp.",96.86,"%IAi","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
16,"population-level","population-level",1,2,79,"gut contents","unknown","unknown","chlorophyta","Oedogonium sp.",7.6,"%FO","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
16,"population-level","population-level",1,2,79,"gut contents","unknown","unknown","chlorophyta","Oedogonium sp.",4.53,"%FV","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
16,"population-level","population-level",1,2,79,"gut contents","unknown","unknown","chlorophyta","Oedogonium sp.",0.41,"%IAi","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
17,"population-level","population-level",1,2,79,"gut contents","unknown","unknown","rhodophyta","Compsopogon sp.",1.26,"%FO","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
17,"population-level","population-level",1,2,79,"gut contents","unknown","unknown","rhodophyta","Compsopogon sp.",0.01,"%FV","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
17,"population-level","population-level",1,2,79,"gut contents","unknown","unknown","rhodophyta","Compsopogon sp.",2e-04,"%IAi","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
18,"population-level","population-level",1,2,79,"gut contents","unknown","vegetal","plant","vegetal fragment",36.7,"%FO","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
18,"population-level","population-level",1,2,79,"gut contents","unknown","vegetal","plant","vegetal fragment",2.34,"%FV","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
18,"population-level","population-level",1,2,79,"gut contents","unknown","vegetal","plant","vegetal fragment",1.02,"%IAi","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
19,"population-level","population-level",1,2,79,"gut contents","unknown","vegetal","plant","petal",1.26,"%FO","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
19,"population-level","population-level",1,2,79,"gut contents","unknown","vegetal","plant","petal",0.24,"%FV","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
19,"population-level","population-level",1,2,79,"gut contents","unknown","vegetal","plant","petal",0.003,"%IAi","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
20,"population-level","population-level",1,2,79,"gut contents","aquatic","animal","insect","larvae fragment",26.58,"%FO","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
20,"population-level","population-level",1,2,79,"gut contents","aquatic","animal","insect","larvae fragment",2.72,"%FV","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
20,"population-level","population-level",1,2,79,"gut contents","aquatic","animal","insect","larvae fragment",0.86,"%IAi","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
21,"population-level","population-level",1,2,79,"gut contents","aquatic","animal","insect","insect larvae",1.26,"%FO","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
21,"population-level","population-level",1,2,79,"gut contents","aquatic","animal","insect","insect larvae",0.01,"%FV","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
21,"population-level","population-level",1,2,79,"gut contents","aquatic","animal","insect","insect larvae",1e-04,"%IAi","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
22,"population-level","population-level",1,2,79,"gut contents","aquatic","animal","insect","Ephemeroptera",1.26,"%FO","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
22,"population-level","population-level",1,2,79,"gut contents","aquatic","animal","insect","Ephemeroptera",0.22,"%FV","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
22,"population-level","population-level",1,2,79,"gut contents","aquatic","animal","insect","Ephemeroptera",0.003,"%IAi","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
23,"population-level","population-level",1,2,79,"gut contents","aquatic","animal","insect","Baetidae",1.26,"%FO","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
23,"population-level","population-level",1,2,79,"gut contents","aquatic","animal","insect","Baetidae",0.01,"%FV","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
23,"population-level","population-level",1,2,79,"gut contents","aquatic","animal","insect","Baetidae",2e-04,"%IAi","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
24,"population-level","population-level",1,2,79,"gut contents","aquatic","animal","insect","Lepidoptera larvae",1.26,"%FO","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
24,"population-level","population-level",1,2,79,"gut contents","aquatic","animal","insect","Lepidoptera larvae",0.8,"%FV","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
24,"population-level","population-level",1,2,79,"gut contents","aquatic","animal","insect","Lepidoptera larvae",0.01,"%IAi","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
25,"population-level","population-level",1,2,79,"gut contents","aquatic","animal","zooplancton","Cladocera",2.53,"%FO","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
25,"population-level","population-level",1,2,79,"gut contents","aquatic","animal","zooplancton","Cladocera",0.01,"%FV","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
25,"population-level","population-level",1,2,79,"gut contents","aquatic","animal","zooplancton","Cladocera",4e-04,"%IAi","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
26,"population-level","population-level",1,2,79,"gut contents","aquatic","animal","scale","scale",36.7,"%FO","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
26,"population-level","population-level",1,2,79,"gut contents","aquatic","animal","scale","scale",1.52,"%FV","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
26,"population-level","population-level",1,2,79,"gut contents","aquatic","animal","scale","scale",0.66,"%IAi","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
27,"population-level","population-level",1,2,79,"gut contents","unknown","unknown","detritus","detritus",3.8,"%FO","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
27,"population-level","population-level",1,2,79,"gut contents","unknown","unknown","detritus","detritus",0.38,"%FV","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
27,"population-level","population-level",1,2,79,"gut contents","unknown","unknown","detritus","detritus",0.01,"%IAi","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
28,"population-level","population-level",1,2,79,"gut contents","unknown","unknown","sand","sand",5.06,"%FO","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
28,"population-level","population-level",1,2,79,"gut contents","unknown","unknown","sand","sand",0.04,"%FV","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
28,"population-level","population-level",1,2,79,"gut contents","unknown","unknown","sand","sand",0.002,"%IAi","Psalidodon fasciatus","Psalidodon","Acestrorhamphidae","Characiformes","Teleostei"
29,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","cyanophyta","Aphanocapsa sp.",2.22,"%FO","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
29,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","cyanophyta","Aphanocapsa sp.",0.003,"%FV","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
29,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","cyanophyta","Aphanocapsa sp.",1e-04,"%IAi","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
30,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","cyanophyta","Chroococcus sp.",1.11,"%FO","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
30,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","cyanophyta","Chroococcus sp.",7e-04,"%FV","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
30,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","cyanophyta","Chroococcus sp.",1e-05,"%IAi","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
31,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","cyanophyta","filamentous Cyanophyceae",50,"%FO","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
31,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","cyanophyta","filamentous Cyanophyceae",2.38,"%FV","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
31,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","cyanophyta","filamentous Cyanophyceae",2.13,"%IAi","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
32,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","cyanophyta","Lyngbya sp.",64.44,"%FO","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
32,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","cyanophyta","Lyngbya sp.",2.64,"%FV","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
32,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","cyanophyta","Lyngbya sp.",3.06,"%IAi","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
33,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","cyanophyta","Merismopedia sp.",5.55,"%FO","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
33,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","cyanophyta","Merismopedia sp.",0.012,"%FV","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
33,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","cyanophyta","Merismopedia sp.",0.001,"%IAi","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
34,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","cyanophyta","Oscillatoria sp.",2.22,"%FO","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
34,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","cyanophyta","Oscillatoria sp.",0.016,"%FV","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
34,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","cyanophyta","Oscillatoria sp.",6e-04,"%IAi","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
35,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Achnantidium sp.",22.22,"%FO","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
35,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Achnantidium sp.",0.057,"%FV","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
35,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Achnantidium sp.",0.02,"%IAi","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
36,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Amphora sp.",51.11,"%FO","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
36,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Amphora sp.",0.27,"%FV","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
36,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Amphora sp.",0.25,"%IAi","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
37,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Carpatograma sp.",7.77,"%FO","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
37,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Carpatograma sp.",0.01,"%FV","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
37,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Carpatograma sp.",0.001,"%IAi","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
38,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Cocconeis sp.",90,"%FO","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
38,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Cocconeis sp.",4.32,"%FV","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
38,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Cocconeis sp.",7,"%IAi","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
39,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Cyclotella sp.",65.55,"%FO","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
39,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Cyclotella sp.",1.01,"%FV","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
39,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Cyclotella sp.",1.19,"%IAi","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
40,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Cymbella sp.",13.33,"%FO","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
40,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Cymbella sp.",0.04,"%FV","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
40,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Cymbella sp.",0.01,"%IAi","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
41,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Diatom penatae",65.55,"%FO","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
41,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Diatom penatae",3.8,"%FV","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
41,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Diatom penatae",4.47,"%IAi","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
42,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Epithemia sp.",2.22,"%FO","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
42,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Epithemia sp.",0.003,"%FV","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
42,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Epithemia sp.",1e-04,"%IAi","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
43,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Eunotia sp.",77.77,"%FO","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
43,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Eunotia sp.",2.24,"%FV","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
43,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Eunotia sp.",3.13,"%IAi","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
44,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Fragilaria sp.",56.66,"%FO","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
44,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Fragilaria sp.",2.3,"%FV","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
44,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Fragilaria sp.",2.34,"%IAi","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
45,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Gomphonema sp.",67.77,"%FO","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
45,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Gomphonema sp.",1.9,"%FV","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
45,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Gomphonema sp.",2.32,"%IAi","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
46,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Gomphonema turris",4.44,"%FO","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
46,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Gomphonema turris",0.01,"%FV","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
46,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Gomphonema turris",9e-04,"%IAi","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
47,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Gyrosigma sp.",2.22,"%FO","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
47,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Gyrosigma sp.",0.004,"%FV","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
47,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Gyrosigma sp.",1e-04,"%IAi","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
48,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Navicula sp1",84.44,"%FO","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
48,"population-level","population-level",1,3,90,"gut contents","unknown","unknown","bacillariophyta","Navicula sp1",2.5,"%FV","Poecilia vivipara","Poecilia","Poeciliidae","Cyprinodontiformes","Teleostei"
